State_Abbreviation,State_Name,Average_Temperature_2024_Celsius,Average_High_Temperature_2024_Celsius,Average_Low_Temperature_2024_Celsius,Max_Recorded_Temperature_Celsius,Min_Recorded_Temperature_Celsius
AL,Alabama,18.6,23.8,12.2,44.4,-32.8
AK,Alaska,-1.7,2.2,-5.6,37.8,-62.2
AZ,Arizona,16.9,23.1,8.8,53.3,-40.0
AR,Arkansas,17.4,22.1,11.4,48.9,-33.9
CA,California,15.8,21.1,8.9,56.7,-42.8
CO,Colorado,8.7,14.7,0.8,46.1,-51.7
CT,Connecticut,11.2,14.6,5.7,41.1,-35.6
DE,Delaware,14.2,17.9,8.8,43.3,-27.2
FL,Florida,22.8,27.2,17.2,42.8,-18.9
GA,Georgia,18.8,23.9,12.6,44.4,-27.2
HI,Hawaii,19.3,23.3,15.3,37.8,-11.1
ID,Idaho,7.5,12.4,0.8,47.8,-51.1
IL,Illinois,13.1,16.7,7.3,47.2,-38.9
IN,Indiana,12.9,16.6,7.1,46.7,-37.8
IA,Iowa,10.8,14.6,4.9,47.8,-43.9
KS,Kansas,14.2,19.3,6.9,49.4,-40.0
KY,Kentucky,14.9,19.3,8.8,45.6,-38.3
LA,Louisiana,20.7,25.1,15.1,45.6,-26.7
ME,Maine,7.2,10.3,1.8,40.6,-45.6
MD,Maryland,14.2,17.8,8.6,42.8,-40.0
MA,Massachusetts,10.7,14.0,5.2,41.7,-37.2
MI,Michigan,9.4,12.1,3.9,44.4,-46.1
MN,Minnesota,7.5,10.5,2.0,46.1,-51.1
MS,Mississippi,19.2,24.1,13.1,46.1,-28.3
MO,Missouri,14.4,18.7,8.2,47.8,-40.0
MT,Montana,6.9,11.7,0.1,47.2,-56.7
NE,Nebraska,11.1,16.2,3.8,47.8,-43.9
NV,Nevada,11.5,17.3,3.9,51.7,-45.6
NH,New Hampshire,8.3,11.9,2.8,41.1,-45.6
NJ,New Jersey,13.2,16.4,7.6,43.3,-36.7
NM,New Mexico,13.5,19.8,5.1,50.0,-45.6
NY,New York,9.4,12.6,4.1,42.2,-46.7
NC,North Carolina,16.2,21.0,10.2,43.3,-36.7
ND,North Dakota,6.5,10.7,0.3,49.4,-51.1
OH,Ohio,12.7,16.1,7.0,45.0,-39.4
OK,Oklahoma,17.3,22.1,10.4,48.9,-35.0
OR,Oregon,9.5,14.3,3.1,48.3,-47.8
PA,Pennsylvania,11.2,14.8,5.4,43.9,-41.1
RI,Rhode Island,11.3,14.4,6.2,40.0,-33.3
SC,South Carolina,18.2,23.3,12.1,45.0,-28.3
SD,South Dakota,9.1,13.9,2.3,48.9,-50.0
TN,Tennessee,15.9,20.7,9.8,45.0,-35.6
TX,Texas,20.3,25.1,13.5,48.9,-30.6
UT,Utah,10.7,15.7,3.5,47.2,-45.6
VT,Vermont,7.9,11.2,2.3,41.7,-45.6
VA,Virginia,14.4,18.8,8.3,43.3,-34.4
WA,Washington,9.1,13.3,3.8,48.9,-44.4
WV,West Virginia,12.8,17.1,6.5,44.4,-38.3
WI,Wisconsin,8.7,11.6,3.0,45.6,-48.3
WY,Wyoming,6.8,11.9,-0.7,46.1,-54.4
